SiteID,Species,SnailID,datetest_1,datetest_2,early_death,time_1,dist_1,time_2,dist_2,food_1,food_2
6,Cornu_aspersum,6D_Co,2022-05-02,2022-05-09,FALSE,90,55.8,90,50.5,0.15,0.4
6,Cornu_aspersum,6E_Co,2022-05-02,2022-05-09,FALSE,90,17.1,90,43.6,0.52,0.26
6,Cornu_aspersum,6F_Co,2022-05-02,2022-05-09,FALSE,90,93.6,79,102.1,0.09,0.26
6,Cornu_aspersum,6G_Co,2022-05-02,2022-05-09,FALSE,90,28.3,90,23.3,0.33,0.44
6,Cornu_aspersum,6H_Co,2022-05-02,2022-05-09,FALSE,90,46.2,85,93.4,0,0.17
6,Cornu_aspersum,6I_Co,2022-05-02,2022-05-09,FALSE,90,50.1,66,83.7,0.03,0.21
6,Cornu_aspersum,6J_Co,2022-05-02,2022-05-09,FALSE,90,71.5,NA,NA,0.29,0.34
6,Cornu_aspersum,6K_Co,2022-05-02,2022-05-09,FALSE,48,88.7,58,77.3,0.25,0.15
6,Cornu_aspersum,6L_Co,2022-05-02,2022-05-09,FALSE,90,24.3,NA,NA,0.09,0.18
6,Cornu_aspersum,6M_Co,2022-05-02,2022-05-09,FALSE,86,83.5,65,80.7,0.11,0.09
6,Cornu_aspersum,6N_Co,2022-05-02,2022-05-09,FALSE,90,14.3,90,39.4,0.53,0.18
6,Cornu_aspersum,6O_Co,2022-05-02,2022-05-09,FALSE,90,49.5,90,24.4,0.02,0.28
6,Cornu_aspersum,6P_Co,2022-05-02,2022-05-09,FALSE,90,57.5,82,83.1,0.06,0.26
6,Cornu_aspersum,6Q_Co,2022-05-02,2022-05-09,FALSE,90,12.7,66,95,0.51,0.54
6,Cornu_aspersum,6R_Co,2022-05-02,2022-05-09,FALSE,90,5.2,90,3.7,0.39,0.59
6,Cornu_aspersum,6S_Co,2022-05-02,2022-05-09,FALSE,90,93.7,90,26.4,0,0
6,Cornu_aspersum,6T_Co,2022-05-02,2022-05-09,TRUE,NA,NA,NA,NA,NA,NA
6,Cepaea_nemoralis,6A_Ce,2022-05-02,2022-05-09,FALSE,90,50.7,64,112.6,0.09,0.19
6,Cepaea_nemoralis,6B_Ce,2022-05-02,2022-05-09,FALSE,43,87.1,77,138.7,0,0.24
6,Cepaea_nemoralis,6C_Ce,2022-05-02,2022-05-09,FALSE,64,110.3,56,109,0,0.07
6,Cepaea_nemoralis,6D_Ce,2022-05-02,2022-05-09,FALSE,90,81.4,90,100.6,0.04,0.29
6,Cepaea_nemoralis,6E_Ce,2022-05-02,2022-05-09,FALSE,90,111,90,28.3,0,0
6,Cepaea_nemoralis,6F_Ce,2022-05-02,2022-05-09,FALSE,67,124.7,71,96.5,0,0.25
6,Cepaea_nemoralis,6G_Ce,2022-05-02,2022-05-09,FALSE,49,87.7,90,105.7,0,0.08
6,Cepaea_nemoralis,6H_Ce,2022-05-02,2022-05-09,FALSE,78,95.5,66,123.9,0,0.2
6,Cepaea_nemoralis,6I_Ce,2022-05-02,2022-05-09,FALSE,90,135,52,78.5,0,0.04
6,Cepaea_nemoralis,6J_Ce,2022-05-02,2022-05-09,FALSE,42,86.9,90,94.9,0.11,0.1
6,Cepaea_nemoralis,6K_Ce,2022-05-02,2022-05-09,FALSE,57,105.4,90,90.8,0,0.1
6,Cepaea_nemoralis,6L_Ce,2022-05-02,2022-05-09,FALSE,71,99.1,61,109,0,0.16
6,Cepaea_nemoralis,6M_Ce,2022-05-02,2022-05-09,FALSE,78,95.2,57,83.1,0,0.25
6,Cepaea_nemoralis,6N_Ce,2022-05-02,2022-05-09,FALSE,90,60.3,54,78.3,0,0.2
6,Cepaea_nemoralis,6O_Ce,2022-05-02,2022-05-09,FALSE,90,80.5,90,86,0.01,0.08
6,Cepaea_nemoralis,6P_Ce,2022-05-02,2022-05-09,FALSE,66,108.3,90,52.2,0,0.03
6,Cepaea_nemoralis,6Q_Ce,2022-05-02,2022-05-09,FALSE,90,94.3,90,64,0,0
6,Cepaea_nemoralis,6R_Ce,2022-05-02,2022-05-09,FALSE,42,88.3,40,86.1,0,0.22
6,Cepaea_nemoralis,6S_Ce,2022-05-02,2022-05-09,FALSE,56,107.1,90,82.9,0.1,0.14
6,Cepaea_nemoralis,6T_Ce,2022-05-02,2022-05-09,FALSE,46,95,38,79.3,0.06,0.1
